continent,date,total,pro,share
Africa,1988,54,40,0.7407
Africa,1989,54,45,0.8333
Africa,1990,54,45,0.8333
Africa,1991,54,46,0.8519
Africa,1992,54,46,0.8519
Africa,1993,54,46,0.8519
Africa,1994,54,46,0.8519
Africa,1995,54,47,0.8704
Africa,1996,54,47,0.8704
Africa,1997,54,47,0.8704
Africa,1998,54,48,0.8889
Africa,1999,54,48,0.8889
Africa,2000,54,48,0.8889
Africa,2001,54,48,0.8889
Africa,2002,54,48,0.8889
Africa,2003,54,48,0.8889
Africa,2004,54,48,0.8889
Africa,2005,54,48,0.8889
Africa,2006,54,48,0.8889
Africa,2007,54,48,0.8889
Africa,2008,54,49,0.9074
Africa,2009,54,49,0.9074
Africa,2010,54,49,0.9074
Africa,2011,54,52,0.963
Africa,2012,54,52,0.963
Africa,2013,54,52,0.963
Africa,2014,54,52,0.963
Africa,2015,54,52,0.963
Africa,2016,54,52,0.963
Africa,2017,54,52,0.963
Africa,2018,54,52,0.963
Africa,2019,54,52,0.963
Africa,2020,54,52,0.963
Africa,2021,54,52,0.963
Africa,2022,54,52,0.963
Africa,2023,54,52,0.963
Africa,2024,54,52,0.963
Africa,2025,54,52,0.963
Americas,1988,35,2,0.0571
Americas,1989,35,2,0.0571
Americas,1990,35,2,0.0571
Americas,1991,35,2,0.0571
Americas,1992,35,2,0.0571
Americas,1993,35,2,0.0571
Americas,1994,35,2,0.0571
Americas,1995,35,2,0.0571
Americas,1996,35,2,0.0571
Americas,1997,35,2,0.0571
Americas,1998,35,2,0.0571
Americas,1999,35,2,0.0571
Americas,2000,35,2,0.0571
Americas,2001,35,2,0.0571
Americas,2002,35,2,0.0571
Americas,2003,35,2,0.0571
Americas,2004,35,2,0.0571
Americas,2005,35,3,0.0857
Americas,2006,35,3,0.0857
Americas,2007,35,3,0.0857
Americas,2008,35,4,0.1143
Americas,2009,35,6,0.1714
Americas,2010,35,10,0.2857
Americas,2011,35,21,0.6
Americas,2012,35,21,0.6
Americas,2013,35,24,0.6857
Americas,2014,35,24,0.6857
Americas,2015,35,25,0.7143
Americas,2016,35,25,0.7143
Americas,2017,35,25,0.7143
Americas,2018,35,26,0.7429
Americas,2019,35,27,0.7714
Americas,2020,35,27,0.7714
Americas,2021,35,27,0.7714
Americas,2022,35,27,0.7714
Americas,2023,35,27,0.7714
Americas,2024,35,31,0.8857
Americas,2025,35,33,0.9429
Asia,1988,47,28,0.5957
Asia,1989,47,30,0.6383
Asia,1990,47,30,0.6383
Asia,1991,47,30,0.6383
Asia,1992,47,33,0.7021
Asia,1993,47,33,0.7021
Asia,1994,47,35,0.7447
Asia,1995,47,36,0.766
Asia,1996,47,36,0.766
Asia,1997,47,36,0.766
Asia,1998,47,36,0.766
Asia,1999,47,36,0.766
Asia,2000,47,36,0.766
Asia,2001,47,36,0.766
Asia,2002,47,36,0.766
Asia,2003,47,36,0.766
Asia,2004,47,38,0.8085
Asia,2005,47,38,0.8085
Asia,2006,47,38,0.8085
Asia,2007,47,38,0.8085
Asia,2008,47,39,0.8298
Asia,2009,47,39,0.8298
Asia,2010,47,39,0.8298
Asia,2011,47,40,0.8511
Asia,2012,47,41,0.8723
Asia,2013,47,41,0.8723
Asia,2014,47,41,0.8723
Asia,2015,47,41,0.8723
Asia,2016,47,41,0.8723
Asia,2017,47,41,0.8723
Asia,2018,47,41,0.8723
Asia,2019,47,41,0.8723
Asia,2020,47,41,0.8723
Asia,2021,47,41,0.8723
Asia,2022,47,41,0.8723
Asia,2023,47,41,0.8723
Asia,2024,47,42,0.8936
Asia,2025,47,42,0.8936
Europe,1988,43,11,0.2558
Europe,1989,43,11,0.2558
Europe,1990,43,11,0.2558
Europe,1991,43,11,0.2558
Europe,1992,43,12,0.2791
Europe,1993,43,12,0.2791
Europe,1994,43,12,0.2791
Europe,1995,43,12,0.2791
Europe,1996,43,12,0.2791
Europe,1997,43,12,0.2791
Europe,1998,43,12,0.2791
Europe,1999,43,12,0.2791
Europe,2000,43,12,0.2791
Europe,2001,43,12,0.2791
Europe,2002,43,12,0.2791
Europe,2003,43,12,0.2791
Europe,2004,43,12,0.2791
Europe,2005,43,12,0.2791
Europe,2006,43,13,0.3023
Europe,2007,43,13,0.3023
Europe,2008,43,13,0.3023
Europe,2009,43,13,0.3023
Europe,2010,43,13,0.3023
Europe,2011,43,14,0.3256
Europe,2012,43,14,0.3256
Europe,2013,43,14,0.3256
Europe,2014,43,15,0.3488
Europe,2015,43,15,0.3488
Europe,2016,43,15,0.3488
Europe,2017,43,15,0.3488
Europe,2018,43,15,0.3488
Europe,2019,43,15,0.3488
Europe,2020,43,15,0.3488
Europe,2021,43,15,0.3488
Europe,2022,43,15,0.3488
Europe,2023,43,15,0.3488
Europe,2024,43,19,0.4419
Europe,2025,43,22,0.5116
Oceania,1988,14,0,0
Oceania,1989,14,1,0.0714
Oceania,1990,14,1,0.0714
Oceania,1991,14,1,0.0714
Oceania,1992,14,1,0.0714
Oceania,1993,14,1,0.0714
Oceania,1994,14,1,0.0714
Oceania,1995,14,1,0.0714
Oceania,1996,14,1,0.0714
Oceania,1997,14,1,0.0714
Oceania,1998,14,1,0.0714
Oceania,1999,14,1,0.0714
Oceania,2000,14,1,0.0714
Oceania,2001,14,1,0.0714
Oceania,2002,14,1,0.0714
Oceania,2003,14,1,0.0714
Oceania,2004,14,2,0.1429
Oceania,2005,14,2,0.1429
Oceania,2006,14,2,0.1429
Oceania,2007,14,2,0.1429
Oceania,2008,14,2,0.1429
Oceania,2009,14,2,0.1429
Oceania,2010,14,2,0.1429
Oceania,2011,14,2,0.1429
Oceania,2012,14,2,0.1429
Oceania,2013,14,2,0.1429
Oceania,2014,14,2,0.1429
Oceania,2015,14,2,0.1429
Oceania,2016,14,2,0.1429
Oceania,2017,14,2,0.1429
Oceania,2018,14,2,0.1429
Oceania,2019,14,2,0.1429
Oceania,2020,14,2,0.1429
Oceania,2021,14,2,0.1429
Oceania,2022,14,2,0.1429
Oceania,2023,14,2,0.1429
